title,question,answer
number of banks with qualifying full banking licences currently granting loans to local corporations with turnovers below $10 million,Mr Don Wee asked the Prime Minister how many banks with Qualifying Full Banking Licences currently grant loans to local corporations with turnovers below S$10 million.,"Mr Tharman Shanmugaratnam (for the Prime Minister): Small and medium enterprises (SMEs) in Singapore are served by a variety of lending institutions and platforms in our financial sector. The three local banks, finance companies and, more recently, crowdfunding platforms, play an active role lending to SMEs and the smaller local enterprises with annual turnover below $10 million. Mr Wee asked specifically about Qualifying Full Banks (QFBs). Five of the nine QFBs1 currently grant loans to SMEs and local enterprises with annual turnover below $10 million. The remaining QFBs serve other segments of the Singapore market, providing services such as retail banking, wealth management, Renminbi services, securities services, and credit and trade finance for larger corporates.The Government has provided a 90% risk-share on the loans granted under Enterprise Singapore's (ESG) Temporary Bridging Loan Programme, which has increased the availability of credit to SMEs. More than 80% of these loans were taken up by local enterprises with annual turnover below $10 million."
"take-up and split of loan capital smes and large firms, interest rates paid by banks and expected repayment period for banks","Assoc Prof Jamus Jerome Lim asked the Deputy Prime Minister and Minister for Finance (a) to date, how many companies have taken up loans that are backed by the $22 billion loan capital set aside as part of the Government's COVID-19 package; (b) what is the split of loan capital taken up by SMEs and large firms; (c) what is the interest rate that is paid by the banks for tapping on this loan capital; and (d) what is the expected repayment period for banks tapping on the loan capital that is set aside.","Mr Heng Swee Keat: To help enterprises with credit and cash flow, the Government introduced and enhanced financing schemes, such as the Temporary Bridging Loan Programme (TBLP), as part of the COVID-19 support packages. The TBLP has supported $13.1 billion of loans and 16,349 companies as of 31 August 2020. 99.7% of these companies are SMEs, and 0.3% of them are larger firms.Under the TBLP, Participating Financial Institutions (PFIs) can choose to tap on their own capital, Government's loan capital or the MAS SGD Facility for ESG Loans when issuing loans. For Government's loan capital, there is an interest rate of 1.9% per annum (p.a.) without collateral. The repayment period, for a PFI which borrows from the Government, is tied to the tenure of the loans offered by the PFI, i.e. up to five years. The MAS SGD Facility for ESG Loans provides funds to PFIs at 0.1% p.a. for up to two years, and requires PFIs to provide collateral.For now, most of the loans supported under the TBLP are drawing capital from the MAS SGD Facility. Overall, we have lowered the interest rates charged by PFIs to borrowers for TBLP loans to a range of 1.5% to 3.0% p.a.  "
review of personal income tax reliefs vis-a-vis dependant's income threshold and child's ns allowances since 2010,"Mr Patrick Tay Teck Guan asked the Deputy Prime Minister and Minister for Finance whether he will review the personal income tax reliefs in relation to a dependant's income threshold of $4,000 and the child's full-time national serviceman allowances that has increased since 2010.","Mr Heng Swee Keat: Tax reliefs such as Parent Relief, Spouse Relief and Qualifying Child Relief are given to taxpayers to recognise their efforts in supporting their family members.These reliefs are intended for circumstances where the dependent is handicapped, or is not earning any income. Nevertheless, we recognise that some dependants may derive a small amount of incidental income. Hence our approach caters for that by setting the dependant's income threshold at $4,000 a year. This income condition applies to all dependants, including parents, spouses, and children. We will continue to review our personal income tax system to ensure continued relevance and effectiveness."
number of cases of neighbour disputes arising from second-hand cigarette smoke mediated successfully in past two years,Mr Louis Ng Kok Kwang asked the Minister for Law in each of the past two years (a) how many cases of neighbour disputes arising from second-hand cigarette smoke have been mediated successfully by HDB; (b) how many cases have proceeded to the Community Mediation Centre and mediated successfully; (c) how many cases are filed with the Community Disputes Resolutions Tribunals; and (d) what is the extent of increase or decrease in the number of such cases after the start of the circuit breaker period.,"Mr K Shanmugam: In a densely populated state such as Singapore, disagreements between neighbours may arise. These include instances where second-hand cigarette smoke from one neighbour affects another. In some cases, neighbours are able to discuss such issues directly and resolve them amicably. Finding mutually acceptable solutions in this way strengthens neighbourly relations in the long run. In instances where neighbours are unable to resolve the dispute themselves, the Government has created avenues to help neighbours work out their disagreements. While Housing and Development Board (HDB) officers do not themselves conduct mediation, the Community Mediation Centre (CMC) provides trained, neutral, mediators who can help neighbours arrive at mutually acceptable solutions. Mediation at the CMC is generally voluntary.  Between January 2019 and July 2020, 71 cases concerning second-hand cigarette smoke were registered with the CMC. During and after the circuit breaker, there was an increase in the number of disputes over cigarette smoke registered with the CMC, up from an average of two cases before, to eight cases monthly. 70 out of the 71 cases registered were voluntary. To date, nine cases have proceeded to mediation. Six of these cases were successful. About two-thirds of the 71 cases did not proceed to mediation because one party either declined mediation or did not respond.As mediation is generally voluntary, it has its limitations. As can be seen, despite the relatively high success rate of CMC mediations, the take up rate remains low. In some cases, parties may presume that the relationship has deteriorated so much that there is no point attempting to negotiate. Mediators also cannot make binding decisions; they can only help parties reach a mutual agreement. Some parties believe that it is better to skip mediation and go straight to the courts, in order to obtain a permanent, binding order, in their favour. The Community Disputes Resolution Tribunals (CDRT) was established in 2015 as an avenue of last resort. A CDRT judge can require parties to attend mediation. If mediation is not successful, the dispute can also be litigated before the CDRT. Between January 2019 and July 2020, 25 claims relating to excessive smoke, caused by activities such as the burning of incense and cigarette smoking, were filed at the CDRT. There was no discernible shift in the number of claims filed with the CDRT during and after the circuit breaker.The Government is mindful that even with the CMC and CDRT in place, there continues to be difficult cases that are not resolved and differences not reconciled.  It has been about five years since the community dispute resolution framework was launched. It is timely to review how we can strengthen it and make it more effective."
plans to join covid-19 vaccine trials and developing a framework for administering covid-19 vaccine when adopted,"Mr Leon Perera asked the Minister for Health (a) whether Singapore will be joining trials for COVID-19 vaccines developed by other nations and, if so, when will these trials commence; (b) whether there are plans to purchase vaccines currently under clinical trial around the world; and (c) whether a framework has been developed for the manner of administration of a COVID-19 vaccine in Singapore once one has been adopted.","Mr Gan Kim Yong: The Government is closely monitoring the global progress in the development of COVID-19 vaccines, and taking active steps to ensure that Singapore has timely access to an effective and safe vaccine when this becomes available. Duke-NUS Medical School is collaborating with a United States biotechnology company, Arcturus Therapeutics, to co-develop a COVID-19 vaccine. The school supported the pre-clinical studies by conducting rapid screening of potential vaccine candidates for effectiveness and safety, and by conducting animal trials. Phase 1 human clinical trials for this vaccine started in early August at the SingHealth Investigational Medicine Unit (IMU). Singapore is also participating in the discussions led by the World Health Organisation (WHO) on the multi-country Solidarity Vaccine Trials.Singapore is actively pursuing the procurement of COVID-19 vaccines with a number of pharmaceutical companies, while keeping abreast of the progress of the various vaccine candidates under development. These discussions are covered by confidentiality obligations and we will not be able to provide more information at this point in time. We are also actively engaged in international discussions, such as with the WHO, CEPI and the Global Alliance for Vaccines and Immunization (Gavi), as well as like-minded countries to look into early, fair and equitable access to COVID-19 vaccines through the COVID-19 Vaccine Global Access (COVAX) Facility. MOH is working on plans for the administration of a COVID-19 vaccine when it is assessed to be safe and effective for use, and has received the appropriate approvals by the Health Sciences Authority. This will take into consideration the characteristics of the vaccine, suitability for different population subgroups, and availability of the supply and other factors. Our priority is to protect individuals who are most vulnerable or at high risk from the disease, as well as those who may be more likely exposed to infection, while working progressively towards a high level of vaccination in the population. We will need to refine and adapt our vaccination strategy as more clinical data from the various vaccine candidates become available in the coming months. "
plans to increase awareness among merchants who adopt cashless payments on payment verification and possible scams,Mr Christopher de Souza asked the Minister for Communications and Information whether the Ministry will increase awareness among merchants who adopt cashless payments on how to verify payments and what they can do to protect themselves from possible scams.,"Mr S Iswaran: In recent years, the Government has made a concerted push to drive the adoption of cashless payment solutions by merchants.  We have made significant strides in developing a single, interoperable e-payment solution which unifies different payment schemes under a single Singapore Quick Response (SGQR) label, making it easy, convenient and secure for users. There are understandable concerns about fraud, errors and security threats behind cashless payment solutions, among merchants as well as consumers. Beyond existing verification measures and safeguards within payment systems, merchants and consumers are encouraged to exercise vigilance to combat such scams, keep devices secure with the latest security patches, and maintain their password secrecy.  Recently, concerns were raised that merchants unfamiliar with cashless payments may face greater risk of payment scams. In June 2020, IMDA launched the Hawkers Go Digital programme, as part of a nationwide effort to help micro-enterprises like stallholders at NEA hawker centres, HDB coffeeshops and wet markets and JTC industrial canteens, to accelerate the adoption of the unified SGQR solution. We also established the SG Digital Office (SDO), mobilising 1,000 Digital Ambassadors to work together with NETS to engage and guide stallholders. Along with the deployment of the SGQR code, NETS will also help stallholders install the NETSBiz App on their digital device and teach them how to verify successful payment transactions in real-time. This App provides real-time notifications of successful payment transactions in English or Mandarin, has a voice notification capability in English and Mandarin, and allows stallholders to view their transaction histories. Stallholders may also approach NETS personnel or SDO's Digital Ambassadors on the ground should they need further assistance. "
resources for detection of mental health issues and provision of preventive care and subsidies available,"Ms Ng Ling Ling asked the Minister for Health (a) how are the primary care providers, including polyclinics and private GP clinics, equipped and resourced to detect early onset of mental health issues and to provide preventive care; (b) what are the subsidies for Singaporeans in seeking such preventive care; and (c) whether there are integration platforms with social services in such care provisions.","Mr Gan Kim Yong: Under the Community Mental Health Masterplan (CMHMP), primary care providers receive support to improve early identification and access to mental health care for persons with mental health issues. Mental health services have been set up in the polyclinics. Family physicians, nurses, psychologists and medical social workers sited at these polyclinics are trained to recognise early signs of mental distress among patients so that they can provide timely mental health assessment and intervention. In addition, over 220 general practitioners (GP) have been trained under the Mental Health General Practitioner Partnership Programme (MHGPP) to identify, diagnose and manage persons with mental health issues in the community. Government subsidies are available at polyclinics and Community Health Assist Scheme (CHAS) subsidies are available at CHAS GPs for Singaporeans who seek treatment for mental health issues in the primary care setting. In November 2019, CHAS Green was introduced to allow all chronic patients, regardless of income, to enjoy CHAS subsidies for mental illnesses under the Chronic Disease Management Programme (CDMP) (namely major depression, anxiety disorders, bipolar disorder, and schizophrenia) at CHAS GPs clinics. Currently, patients can also withdraw up to $500 per year from their MediSave for the outpatient management of conditions under the CDMP. For patients with complex chronic conditions, this annual withdrawal limit will be raised to $700 from 1 January 2021. Lastly, those aged 60 and above may tap on Flexi-MediSave. In addition to providing accessible and affordable care for persons with mental health condition(s), the Agency of Integrated Care (AIC) helps to coordinate care across the health and social sectors for persons with mental health issues. Primary care providers, community partners, ground agencies and members of the public can refer persons with/suspected to have mental health condition(s) to AIC, who will then work with relevant stakeholders to support clients with the appropriate medical and social services.  "
consideration to allow private security firms to recruit and employ singporeans aged above 60 on a temporary basis as private security officers,"Mr Patrick Tay Teck Guan asked the Minister for Home Affairs whether the Singapore Police Force will allow private security firms to recruit and employ Singaporeans on a temporary basis for specified tasks as private security officers pending their (i) screening, training and passing the requisite tests and (ii) pending their medical screening for those aged above 60 years.","Mr K Shanmugam: Under the Private Security Industry Act (PSIA), a person must be licensed before carrying out the functions of a security officer. Security screening is part of the licensing procedures. This reduces the risk that persons abuse their positions as security officers to commit crimes against their clients or the public. Security officers perform duties such as patrol, access control, and responding to incidents. They need to be properly trained and qualified, so that they can perform these important duties effectively. The process of licence application and training can be done concurrently. A person can obtain his licence and complete the requisite training in about two weeks if he meets the security screening and course requirements. It is also a licensing condition that security officers above the age of 60 be certified medically fit for duty before being deployed. This is for their own welfare and safety, as the job of a security officer is physically demanding. In short, there are important reasons for these requirements. The Police can allow security agencies to deploy as security officers, only persons who have been security cleared and are properly qualified."
extending availability of medication delivery to patients' home for patients collecting routine medication for chronic conditions,Mr Christopher de Souza asked the Minister for Health whether the Ministry will consider more widespread availability of medication delivery to patients' homes to reduce crowding and waiting time in polyclinics and hospitals especially for those patients collecting routine medication for chronic conditions.,"Mr Gan Kim Yong: Public healthcare institutions have been providing medication delivery services since 2003 to bring greater convenience to patients. The Agency for Logistics Procurement and Supply (ALPS) set up by the Ministry of Health, has partnered public healthcare institutions and worked with various providers to enhance the service quality and affordability of medication delivery services. With the ongoing COVID-19 situation, delivery capacity has increased tenfold from 320 deliveries per day before the start of the COVID-19 pandemic to an average of 3,200 deliveries each day. There were over 400,000 medication deliveries made from 1 February to 25 August 2020. In addition to medicine delivery services, selected polyclinics also provide the option for patients to collect their medicine at their convenience from Pilbox lockers, selected parcel deposit lockers or certain retail pharmacy outlets. Patients may approach the pharmacy staff at the public healthcare institutions to arrange for medication delivery or collection."
number of visitors and their family members allowed into singapore for medical treatment since 27 march 2020,"Ms He Ting Ru asked the Minister for Health (a) since 27 March 2020, how many visitors have been allowed into Singapore for medical treatment; (b) how many of their family members have been permitted to enter Singapore; and (c) what is the breakdown of the countries that these visitors come from.","Mr Gan Kim Yong: For the five months since 27 March 2020, 303 foreign patients on short-term visitor pass and 260 accompanying caregivers have been approved to enter Singapore for medical treatment. Of these, 183 foreign patients had entered Singapore and 147 brought along a caregiver.These are mostly existing patients cared for by medical specialists in Singapore who need active follow up, such as cancer patients on chemotherapy and patients with renal diseases who require continuing care. Approved patients can bring along one accompanying caregiver if required. Foreign patients and accompanying caregivers need to test negative for COVID-19 in their home countries before departure. They will be tested again on arrival in Singapore and are subjected to the prevailing Stay-Home-Notice requirements.The majority of foreign patients are from Indonesia, followed by Vietnam, Malaysia, Bangladesh and the Philippines. "
response to us clean network initiative while maintaining access to technologies from different providers,Mr Gerald Giam Yean Song asked the Minister for Communications and Information (a) how does the Government intend to respond to the US Clean Network Initiative while maintaining access to technologies from different providers; and (b) how does the Government intend to mitigate consequences or repercussions from any non-compliance with this initiative.,"Mr S Iswaran: Singapore aims to leverage on the opportunities and benefits of digital technologies, while keeping our communications infrastructure and computer networks secure and resilient. The Government is committed to working with partners, including overseas government counterparts, and technology and service providers in both bilateral and multilateral settings, to ensure that our infrastructure is reliable, safe and world-class. We closely monitor all initiatives, including the US Clean Networks programme. Our regulatory and security agencies will continue to work with trusted partners and in relevant multilateral platforms to enhance the security, diversity and resilience of our network systems."
