title,question,answer
numbers in merdeka generation who require permanent help with at least three activities of daily living,Mr Saktiandi Supaat asked the Minister for Health (a) how many Merdeka Generation Singaporeans require permanent help with at least three of six Activities of Daily Living; and (b) whether the Ministry will consider a disability assistance scheme for the Merdeka Generation that is similar to that for Pioneer Generation Singaporeans.,"Mr Gan Kim Yong: We estimate that there are currently about 9,000 Merdeka Generation seniors who require permanent help with at least three out of six Activities of Daily Living.  MOH is rolling out CareShield Life, which is a long-term care insurance that provides peace of mind and protection against uncertainty of disability care in old age. CareShield Life will provide life time payouts in the event of severe disability.The majority of Merdeka Generation seniors are still healthy and able-bodied today, and will be able to join CareShield Life from 2021. To encourage them to join CareShield Life, the Government will provide a $4,000 sign-on incentive under the Merdeka Generation Package. Lower to middle income policy holders will also be eligible for subsidies that help keep premiums affordable. Those who still face difficulty paying their premiums can apply for additional premium support.  For those who already require permanent help with at least three out of six Activities of Daily Living, and are hence ineligible to join CareShield Life, they can apply for financial help through the new government-funded ElderFund which will be introduced by MOH in 2020.In addition to CareShield Life and ElderFund, MOH will also roll out a new Home Caregiving Grant later this year and MediSave withdrawals for long-term care next year. Together with subsidies of up to 80% for long-term care services, all these initiatives will make long-term care more affordable for Merdeka Generation seniors.                              "
effectiveness of save-a-life initiative,Mr Zainal Sapari asked the Minister for Home Affairs how effective has the Save-A-Life (SAL) initiative been in saving lives.,"Mr K Shanmugam: The Singapore Civil Defence Force (SCDF) launched the Save-A-Life (SAL) initiative in August 2015. The initiative aims to increase the survival rate of Out-of-Hospital Cardiac Arrest (OHCA) victims by building a network of community first responders who are trained in performing CPR and in the operation of AEDs, to respond to cardiac arrest cases in their immediate vicinity. Since the launch of SAL, more than 4,800 AEDs have been installed at the lift lobbies of HDB blocks. More than 200,000 people have been trained to perform CPR and to operate AEDs. The SAL initiative has seen encouraging results. The bystander CPR rate, which is defined as the percentage of OHCA incidents where a bystander had performed CPR, increased from 50.7% in 2014 to 56.4% in 2016. The bystander AED usage rate has also increased, from 3.6% to 4.6% over the same period. These have contributed to the improvement in the OHCA survival rate from 4.1% in 2014 to 6.5% in 2016. (We are working with MOH to get more recent data.) In addition, the number of community first responders who responded to cardiac arrest cases via SCDF's myResponder mobile app increased from 214 in 2015 to 820 in 2017.  The SCDF will continue to work with the Ministry of Health and the Singapore Heart Foundation to encourage more public and private establishments to install AEDs. Members of the public who are trained in CPR and AED skills are also encouraged to download the SCDF myResponder mobile app and register themselves as community first responders.              "
inflation adjustments for payouts under silver support scheme,"Ms Foo Mee Har asked the Minister for Manpower whether the quantum of support provided under the Silver Support Scheme will be reviewed to cater for (i) inflation since its launch in 2014 and (ii) the findings of a recent NUS study which concluded that Singapore seniors each need at least $1,379 monthly to meet basic needs.","Mrs Josephine Teo: The Silver Support Scheme was introduced as a complement to Workfare, to mitigate the effects of income inequality. It supplements the retirement income of elderly who had low incomes through life, and now have little or no family support. Eligible elderly receive cash supplements of up to $3,000 a year. More than 180,000 elderly have received a total of about $1.3 billion in Silver Support payouts since it was implemented in 2016.The Ministry of Manpower is reviewing the Silver Support Scheme and will take into account factors such as inflation.As we have explained previously in this House, Singaporeans meet their retirement needs through a combination of income sources, including their CPF savings, private savings, as well as support from family. The Government also provides a range of support, including through the Pioneer and Merdeka Generation Packages, and GST Vouchers and U-Save rebates. For each of the schemes including Silver Support, the quantum of support is designed to be meaningful for their purpose and fiscally sustainable. We consider findings from a variety of sources where relevant.                     "
number of recipients of scholarships under community care manpower development award,"Assoc Prof Daniel Goh Pei Siong asked the Minister for Health how many students, mid-career switchers, community care sector staff and general practitioners respectively have received scholarships under the Community Care Manpower Development Award since its launch and whether the numbers have been hitting the targets.","Mr Gan Kim Yong: The Community Care Manpower Development Award (CCMDA) was launched in April 2017. It supports the community care sector in attracting new entrants, and developing in-service staff. A budget of about $12 million was set aside to support the programme up to 2020.To date, we have committed close to $8 million under the CCMDA to support around 250 individuals to pursue training and skills upgrading opportunities in fields such as nursing, physiotherapy, occupational therapy and gerontology. Over 200 awardees are in-service staff, of whom about 10% are mid-career candidates. The other awardees comprise students and general practitioners.            "
installation of aeds in public parks,Mr Zainal Sapari asked the Minister for National Development whether NParks has plans to install automated external defibrillators (AEDs) in public parks.,"Mr Lawrence Wong: NParks has worked with SCDF to increase the number of automated external defibrillators (AEDs) in our parks and park connectors over the years. To date, 170 AEDs have been installed in our most frequented parks, including all nature reserves and regional parks, as well as park connectors with high visitorship. The AEDs are located at key locations in our parks, such as visitor centres, play areas, fitness corners and F&B outlets. This allows for a quicker response should a cardiac arrest emergency occur. Park visitors may find the AED nearest to their location via SCDF's myResponder mobile application.NParks is in the process of installing more AEDs across our parks, in consultation with SCDF.                       "
effectiveness of employment assistance schemes targeted at various age groups,"Mr Zainal Sapari asked the Minister for Manpower (a) in the last two years, what has been the average and median length of time for workers in the different age groups to secure employment; and (b) whether the various employment assistance schemes provided to help workers in these different age groups to secure employment have been effective.","Mrs Josephine Teo: The median duration of unemployment among all residents aged 15 years and over was eight weeks in 2017 and 2018.  In general, the median duration of unemployment rises with age, from about five weeks in 2018 for those aged 15 to 24 years, to 13 weeks in 2018 for those aged 50 years and above. The detailed breakdown of these figures is available in MOM's Report on Labour Force in Singapore, published in January each year and available on MOM's website.Through the Adapt and Grow (A&G) initiative, Workforce Singapore (WSG) and NTUC's Employment and Employability Institute (e2i) offer employment facilitation services such as career coaching, employability workshops, job fairs and job matching. They also provide a suite of employment support programmes to help jobseekers take up new jobs and careers. In 2018, about 30,000 jobseekers found jobs through the A&G initiative, an increase of about 20% compared to 2017. Of these, close to 16,000 were aged 40 and above, with nearly 9,000 aged 50 and above.To support mature and older jobseekers in their efforts to secure good employment, the A&G initiative offers enhanced rates of training or wage support to employers that hire jobseekers aged 40 and above. For instance, the Professional Conversion Programmes (PCPs) help workers to reskill for new career opportunities as economic transformation continues apace. PCPs provide training and salary support to help jobseekers reskill and move into new occupations or sectors, with higher support for those aged 40 and above. Another A&G programme is the Career Support Programme (CSP), which provides salary support to encourage employers to hire mature retrenched PMETs. The Member asked if our employment assistance schemes have been effective. Overall, the Adapt and Grow initiative has produced encouraging results. In 2018, close to 5,000 individuals (including mature and older jobseekers) were placed through PCPs. Most PCP participants did well, with about nine in 10 remaining employed 18 months after being placed, and about two-thirds receiving higher wages than before due to the skills they had acquired. As for CSP, over 1,200 individuals were placed in 2018. About seven in 10 CSP participants remained in employment 18 months after being placed. While we are heartened by the good progress of A&G, we are also working to do better in three areas. First, we will strengthen A&G's outreach so as to raise awareness of the support available to jobseekers. Second, we will continue to monitor the outcomes of existing programmes, and review or enhance them as necessary to improve their effectiveness. Third, we are moving upstream to help at-risk workers to stay relevant and re-skill for new roles. MOM and WSG will continue to monitor labour market outcomes for workers in each age group, and will work closely with our tripartite partners to help Singaporeans secure good jobs through the A&G initiative.                      "
"checks in integrity of work permit, and employment and s pass systems",Mr Png Eng Huat asked the Minister for Manpower with regard to the Report of the Auditor-General for FY2018/19 whether any forensic review has been done to ascertain the integrity of the Work Permit and Employment/S Pass systems for the period of 2 June 2011 to 31 December 2017 since there were no reviews conducted by the Ministry of activities performed by the IT vendor staff using the privileged operating system user account during that period as flagged by AGO.,"Mrs Josephine Teo: Following AGO's finding, MOM reviewed the operating system administrators’ activity logs from January 2018 (earliest available). We found no unauthorised activity. Given the heightened cybersecurity risks, we acknowledge the value of more regular reviews and now conduct them on a monthly basis.Although the same type of review was not conducted between June 2011 and December 2017, MOM has in place various measures to mitigate the risk of unauthorised activity undermining system integrity.Since the commissioning of the Work Permit System and the Employment Pass System in 2004 and 2008 respectively, all personnel, including IT vendor staff, have been segregated into applications and system administrator roles, with separate access rights for different part of the systems. This reduces the risk of a malicious breach of system security or data integrity as no individual has sufficient access to the system to manipulate it without being discovered. There are also regular reports and automated checks to ensure that applications are functioning as intended.Since 2011, the Ministry has also recorded the sessions of all administrators. The primary purpose of the session recordings is to support investigations if a system anomaly is detected, or malicious activity is suspected. Given the volume of data amassed from the recordings, MOM takes a risk-based approach and reviewed sessions of higher risk activities. No unauthorised activity has been detected thus far. A forensic review is an in-depth investigation triggered by a suspected malicious activity or security incident, in order to uncover details about the specific incident. As no unauthorised activity was detected, there was no basis to order a forensic review.  "
extension of co-funding for assisted reproductive technologies treatments,Miss Cheng Li Hui asked the Minister for Health (a) whether the Ministry is aware of the number of couples seeking assisted reproductive technologies (ARTs) treatment overseas and their reasons for doing so; (b) whether co-funding for ARTs treatment can be extended beyond public hospitals to private hospitals and clinics; (c) what are the reasons for the decreasing ART co-funding with each attempt; and (d) what is the process for women of age 45 and above appealing for in-vitro fertilisation (IVF) and the average time taken for an approval.,"Mr Gan Kim Yong: There are three public healthcare assisted reproduction (AR) centres – National University Hospital, Singapore General Hospital and KK Women's and Children's Hospital. Today, Singaporean couples who undergo assistive reproductive technologies (ART) treatments at these centres can receive co-funding of up to $7,700 per fresh cycle and $2,200 per frozen cycle, for three fresh cycles and three frozen cycles. A frozen cycle costs less than a fresh cycle because a fresh cycle requires the whole ART process like egg stimulation, egg retrieval and fertilisation. While the co-funding for each fresh cycle and frozen cycle differs, the amount of co-funding does not decrease with each successive ART attempt.We have sufficient capacity at the public healthcare AR centres for co-funded ART treatments. Couples can commence their ART treatments when they have completed their necessary applications, counselling and tests and assessed to be medically ready. Patients who prefer to seek treatment at private hospitals can use MediSave to help offset the costs, up to the prevailing withdrawal limits. The Ministry does not have information on the number of couples seeking ART treatment overseas.The current age limit for ART treatment in Singapore, including in-vitro fertilisation (IVF), is set at 45. Women aged 45 years and above who wish to undergo ART treatment may appeal to the Ministry of Health, through their ART practitioner. In assessing the appeal, MOH may seek advice from its panel of experts where necessary. The average time for processing an appeal is currently about a week.As advancements in ART have improved the safety of ART procedures, the Ministry is reviewing the maximum age limit for women to undergo ART treatment in Singapore.           "
action against perpetrators who spread fake news on social media that cause racial disharmony,Mr Lim Biow Chuan asked the Minister for Home Affairs whether any action will be taken against perpetrators of fake news on social media which is intended to cause racial disharmony.,"Mr K Shanmugam: The Government has always taken very firm action against individuals or groups who create racial disharmony.Under the Penal Code, it is an offence to commit acts that deliberately wound the racial feelings of any person, promote enmity between different racial groups, or conduct acts that are prejudicial to the maintenance of racial harmony. For example, in January this year, we charged a Chinese man under the Penal Code for deliberate intent to wound the racial feelings of the Malay population. The man had scrawled racist messages about Malays on walls in void decks and sheltered walkways in Geylang and Aljunied. This is not the only example. I will circulate to Members a list of cases involving racial and religious insult that occurred in the past five years.Where a person communicates a falsehood that is likely to incite feelings of enmity, hatred or ill-will between different groups of persons, he may be prosecuted.I will give an example. A few weeks ago a number of persons made postings falsely alleging racial discrimination in security checks of public transport commuters. They are being investigated. Likewise, investigations are ongoing against persons relating to the rap video which attacks Chinese. "
further action against residents who refuse to take part in mediation to resolve neighbourly disputes,Ms Rahayu Mahzam asked the Minister for National Development what further action does HDB take when complaints against neighbours persist especially against one particular resident and neighbours do not wish to participate in mediation or pursue the matter in the Community Disputes Resolution Tribunal.,"Mr Lawrence Wong: Most disputes between neighbours can be resolved amicably with some help from grassroots leaders and community partners. The disputing parties can also seek formal mediation at the Community Mediation Centre to reach an amicable resolution. As a last resort in intractable cases where parties are unable to resolve their disputes by voluntary mediation or other informal means, the aggrieved party can file a case with the Community Disputes Resolution Tribunal (CDRT).  HDB will do its best to assist if the disputes involve any breach of common property rules, or if the disputes involve residents who are posing a danger to others. In such cases, HDB will raise the matter with the relevant government agencies, or with the Town Council to enforce the rules. In cases which involve hoarding behaviour, MND has also put in place an inter-agency taskforce, which includes HDB, to work with the community to minimise disamenities to neighbours.                               "
plans to reduce negative impact of climate change on older hdb flats,"Mr Chong Kee Hiong asked the Minister for National Development in light of the research collaborations which HDB has signed with material science company Evonik and technology company V-Key (a) whether any of the new applications will be adapted to benefit older flats; and (b) if it is not viable technically to do so for older flats, what plans does HDB have to reduce the negative impact of climate change on older flats or to expedite their replacements.","Mr Lawrence Wong: HDB's research collaborations with Evonik and V-key are still at an early stage. If the trials show that the technologies are viable, HDB will study how they can be incorporated into the design of new HDB blocks, and potentially retrofitted in existing HDB blocks as well. Technical feasibility and cost effectiveness will be key considerations.  In the meantime, HDB has implemented various measures to ensure a comfortable living environment in our towns and estates. Some examples include designing our HDB blocks to optimise natural ventilation, orienting HDB blocks to reduce heat gain, and providing more greenery in HDB estates. We will continue to study how to mitigate the negative impact of climate change on our flats."
training and accreditation for home defect inspectors,Mr Chong Kee Hiong asked the Minister for National Development (a) what are the measures to ensure that home defect inspectors are adequately trained and accredited; and (b) whether BCA will introduce a licensing framework for this profession.,"Mr Lawrence Wong: BCA encourages the construction industry to improve on workmanship quality through the Construction Quality Assessment System (CONQUAS) and Quality Mark (QM) schemes. CONQUAS assesses the structural works, architectural works, and mechanical and electrical works of a new building project. QM assesses the workmanship quality of the internal architectural finishes of every dwelling unit to ensure consistent workmanship quality.  Home buyers can use the CONQUAS and QM scores as a guide and benchmark for quality when they purchase a home. Beyond that, some home buyers also engage private sector firms to undertake home defect inspections. These home defect inspectors are not regulated or licensed by BCA. Our focus is to put in place tighter quality controls at the start of the building process. That is what the CONQUAS and QM schemes aim to achieve.                                  "
action against companies whose heavy vehicle drivers accumulate more than three speeding summons per year,Mr Lim Biow Chuan asked the Minister for Home Affairs whether the Ministry will consider taking legal action against companies whose heavy vehicle drivers accumulate more than three speeding summons per year.,"Mr K Shanmugam: Under law, drivers are personally liable for violating traffic rules. This is understandably so. Third parties, including employers, could be liable in specific situations: for example, if the employer got the employee to drive while under suspension. In addition, there are obligations on companies that own heavy vehicles. Heavy vehicle owners are required to ensure that the vehicles are fitted with speed limiters that prevent them from exceeding the speed limit of 60km per hour. If the speed limiter is absent, not in good working order, or tampered with, the owners could be charged under the Road Traffic Act. First-time offenders are liable for an imprisonment term of up to three months or a fine of up to $1,000. "
proposal to review penalties imposed on convicted wildlife traffickers,"Ms Rahayu Mahzam asked the Minister for National Development in light of the recent record seizures of illegal wildlife trade totalling S$66 million, whether there is a need to review the legislation and penalties imposed on convicted wildlife traffickers such that they are commensurate with the value of the illegal shipment.","Mr Lawrence Wong: In Singapore, the Endangered Species (Import and Export) Act, or ESA, governs trade in wildlife, to meet our obligations under the Convention on International Trade in Endangered Species of Wild Fauna and Flora (CITES). Under the ESA, wildlife traffickers could be fined up to $50,000 per specimen for the illegal import, export, or re-export of CITES-regulated species (up to a maximum fine of $500,000), and/or face imprisonment of up to two years.NParks will review these penalties as part of its continual efforts to ensure that our measures remain robust and effective."
take-up rate for sme transformation programmes,"Mr Kwek Hian Chuan Henry asked the Minister for Trade and Industry what has been the take-up rate for the SME transformation programmes including SMEs Go Digital, Productivity Solutions Grant, and Market Readiness Grant.","Mr Chan Chun Sing: The Government has implemented many programmes over the years to help SMEs upgrade their capabilities and grow their businesses. The SMEs Go Digital programme was launched in April 2017 to make it simpler for SMEs to adopt digital solutions. This includes providing step-by-step guidance on going digital through the Industry Digital Plans, pre-approving digital solutions with grant support, as well as offering consultancy and project management services. SMEs which are newly incorporated can take up foundational solutions with the Start Digital Pack. To-date, about 10,000 SMEs have benefitted from the programme. The Market Readiness Assistance (MRA) programme helps SMEs in taking their first steps to tap global markets. The MRA supports companies in activities such as preparing for market entry and participation in trade fairs. Since its introduction in 2013, about 5,000 companies have tapped on this programme to bring their business overseas. The Productivity Solutions Grant (PSG), introduced in April 2018, assists companies to adopt ready-made solutions like IT tools and equipment to become more efficient. The programme has been well received by businesses: around 6,400 projects have been supported so far, benefitting about 5,370 companies. There are many other grant schemes available to support SMEs, but I would like to emphasise that companies should not be grant-focused and scheme-centric. The grants and assistance schemes are meant to enable companies to build up their capabilities and become more competitive. This outcome can only be achieved when companies start by having a clear plan on how they want to transform and grow to meet the needs of their customers. As companies transform, they need to also invest in training their workers to help them pick up new skills and move up the value chain. The Government firmly believes that enterprise transformation must go hand-in-hand with worker training and skills upgrading. When we enhanced the PSG from 1 July 2019, we included a SkillsFuture Training Subsidy of up to $10,000 per company to encourage companies to embark on training when they undergo enterprise transformation.  "
number of qualified therapists for special needs children,"Miss Cheryl Chan Wei Ling asked the Minister for Social and Family Development (a) what is the respective number of qualified therapists in Singapore for occupational therapy, speech therapy and physiotherapy for special needs children; (b) what proportion of these therapists are working in Government-funded organisations versus private practice; and (c) what is the current student intake at the institutes of higher learning IHLs for such specialised courses.","Mr Desmond Lee: There are approximately 3,600 occupational therapists, physiotherapists and speech therapists registered with the Allied Health Professions Council (AHPC) as at December 2018. Slightly more than half of these therapists practice in the public healthcare sector, and about 20% work in private practice. In either of these contexts, the therapists may work with children with special needs.  Another 15% of AHPC-registered therapists are employed in MSF- and NCSS-funded Social Service Agencies (SSAs). These 230 occupational therapists, 150 physiotherapists, and 140 speech therapists serve a number of social service programmes, including Early Intervention programmes for children with special needs, and Special Education schools.With the ramp-up in programmes serving children with special needs, MSF has funded three Therapy Hubs since 2015. These Therapy Hubs are run by SSAs. They train and deploy therapists to MSF- and NCSS-funded social service programmes, including those run by other SSAs which may not have sufficient scale to hire and retain their own therapists. The three Therapy Hubs have expanded their capacity significantly in the past four years, growing from approximately 170 therapists in 2015 to 260 therapists in 2018. More than half of these Hub therapists, or over 150 therapists, support paediatric intervention in multiple settings, including Early Intervention centres, Development Support provided in preschools, and Special Education schools. We will continue to support the Therapy Hubs and other SSAs so that they, in turn, can do their best to support children with special needs.On the current student intake, the occupational therapy and physiotherapy Bachelors' courses are run by the Singapore Institute of Technology (SIT), while the speech therapy graduate-entry Masters’ course is run by the National University of Singapore (NUS). The average total annual intake of these courses from 2016 to 2018 was around 220. MSF and MOH will continue to work with the Institutes of Higher Learning to ensure that cohort sizes are commensurate with the demand for therapists from both the health and social service sectors, and that the content of the courses meets the needs of both sectors."
"singapore's average daily intake amounts of oil, sugar and salt","Dr Chia Shi-Lu asked the Minister for Health (a) over the last five years, what have been the average daily oil, sugar and salt intakes per capita; and (b) whether the Ministry has set targets for Singaporeans' oil, sugar and salt consumption over a particular timeline.","Mr Gan Kim Yong: Health Promotion Board (HPB)'s National Nutrition Survey tracks fat rather than oil consumption. In the 2018 survey, total fat consumption per person was 98 grams compared to 91 grams in the 2010 survey. Saturated fat, which is unhealthy, has decreased from 38% to 36% of total fat consumed while daily trans-fat intake halved from 2.1 grams to 1.0 grams over the same period. The World Health Organization's (WHO) recommendation is that no more than one-third of dietary fat should come from saturated fat, and to eliminate all artificial sources of trans-fat from the food supply.  Average daily sugar intake per person increased slightly from 59 grams in 2010 to 60 grams in 2018. This is in excess of the WHO recommended upper limit of 50 grams (or 10 teaspoons) per day. Pre-packaged drinks remain the largest single contributor of sugar in our diet. The average salt intake amongst Singaporeans was nine grams in 2018, compared to 8.3 grams in 20101. While the methodologies to estimate salt intake in 2018 and 2010 were different, both figures clearly show that Singaporean's average salt intake exceed the WHO recommended intake of five grams per day. The majority of our salt intake comes from sauces, seasoning, and salt added during food preparation.  Much remains to be done to reach WHO's recommended targets. MOH and HPB will continue to promote healthier diet and increase the availability and accessibility of healthier choices. Citizens too can play their part through healthier food and lifestyle choices.                      "
impact of tension in straits of hormuz on singapore's oil trade and electricity tariffs,Mr Saktiandi Supaat asked the Minister for Trade and Industry in view of the tension building up in the Straits of Hormuz (a) how will any escalation of the situation impact on Singapore's oil trade; and (b) what are the plans to stave off any sudden spike in electricity tariffs caused to households by the resultant rise in oil prices.,"Mr Chan Chun Sing: The Straits of Hormuz is a vital oil transit passageway. More than 20% of global petroleum consumed passes through the straits. While the International Energy Agency (IEA) has announced that emergency oil stocks are sufficient to cover supply disruptions for an extended period, tensions in the straits can put upward pressure on oil prices.Oil trading volume has remained steady so far. However, as Singapore imports almost all our energy needs, our electricity prices cannot be insulated from movements in the global energy market. Within Singapore, we promote competition in our energy market so that Singaporeans can enjoy competitive electricity prices. The Open Electricity Market (OEM) is one such initiative. Since May this year, all households and small businesses have the option to buy electricity from a retailer of their choice under the OEM. Consumer feedback has been positive so far, with thirteen electricity retailers offering a good range of competitively priced plans and households reporting savings of about 20-30%.We do not subsidise electricity prices upfront, as this may encourage over-consumption and disproportionately benefit wealthier households who tend to consume more. To help lower- and middle-income HDB households cope with their utilities expenses, we provide the GST Voucher – U-Save, which gives quarterly rebates on utilities bills."
smoking-related complaints,"Mr Liang Eng Hwa asked the Minister for the Environment and Water Resources (a) what is the total number of smoking related complaints received in each of the past two years; (b) of these, how many were caught smoking in prohibited areas; and (c) how effective have thermal cameras been in enforcing smoking restrictions in prohibited areas.","Mr Masagos Zulkifli B M M:  The National Environment Agency (NEA) received about 19,000 and 25,000 instances of feedback related to smoking in 2017 and 2018 respectively. In 2018, more than 30,000 tickets were issued by NEA for smoking in prohibited places, up from more than 22,000 tickets in 2017.NEA has made about 90 thermal camera deployments in residential areas with persistent feedback on smoking issues since January 2019. The thermal cameras complement NEA's surveillance in smoking-prohibited places to detect unlawful smoking at common corridors, lift lobbies or staircase landings. These thermal cameras are able to detect objects emitting high heat and capture images of the smoking offence. NEA uses the images captured by the thermal cameras along with other forms of evidence such as public feedback, for investigations. Thus far, about 70% of the deployments have captured smoking incidences, and NEA is investigating these cases. NEA will take enforcement action against smoking offenders whose identities have been established.  I urge smokers to be mindful of the health of others, and not light up in smoking-prohibited places. Families and friends of smokers, as well as the general public, can help reinforce the right social norms through reminders. Ultimately, we want to help smokers kick the habit for the benefit of their own health, their loved ones, and the community.                 "
number of children and foster parents in foster care scheme,Mr Chong Kee Hiong asked the Minister for Social and Family Development (a) what is the number of children in foster care and the number of registered foster parents in the last three years; (b) whether the Ministry is on track to achieve its target of 500 foster families for 2019; and (c) what measures are planned to boost the number of successful fostering cases.,"Mr Desmond Lee: As at June 2019, we had 510 foster families, exceeding our target of 500 foster families. This is an increase of almost a third since June 2016, when there were around 390 foster families.  There were 542 children in foster care as of June 2019, compared to around 390 foster children in June 2016. This is an increase of around 40% over the past three years.About 47% of children in care are looked after by foster families today. Our goal is to place two-thirds of such children in family-based care. To do this, we are taking a multi-pronged approach.Firstly, MSF is working with Fostering Agencies, community organisations, religious groups and private organisations to raise awareness about fostering. We are also grateful that some of our foster parents readily step forward to share their experiences with interested families. Secondly, MSF will continue to provide close support to foster parents throughout their journey. For example, we provide preparatory training to prepare foster parents before children are placed with them. Case workers and other professionals also provide assistance and support to the foster parents during the period of care. We invite people who are keen to make a difference to the lives of vulnerable children through fostering to contact MSF to register their interest and find out more about foster care.            "
guidelines for wearing of headgear worn in celebration of racial harmony day in schools,"Mr Muhamad Faisal Bin Abdul Manap asked the Minister for Education with regard to the Ministry's recent guidelines on the wearing of headgear as part of ethnic clothes worn in celebration of Racial Harmony Day (a) whether the Ministry is aware of any public schools that do not allow the use of such headgear; (b) if yes, what types of headgear are not allowed to be worn; and (c) what are the reasons given by these schools for not following the Ministry's guidelines.","Mr Ong Ye Kung: Schools commemorate Racial Harmony Day annually, during which schools may have their students wear ethnic outfits. The practice in schools is that under those circumstances, students may wear the headgear if it complements their ethnic outfits. However, Racial Harmony Day commemoration is not a full-day school programme. Students need to be appropriately attired for other lessons, including Physical Education, laboratory or workshop classes where ethnic gear can have safety implications.  This year, there were some misunderstandings when those requirements were conveyed. The schools subsequently contacted the parents concerned, and clarified the matter.             "
review of criteria for building lifts at overhead bridges given ageing population,Ms Joan Pereira asked the Minister for Transport whether the Ministry will consider reviewing its criteria for building lifts at selected overhead bridges especially with an ageing population that faces mobility challenges.,"Mr Khaw Boon Wan: LTA has installed lifts at 47 pedestrian overhead bridges over the last five years. This programme will be expanded to benefit the public through 50 more pedestrian overhead bridges by 2022.  Given the high project cost, as high as $4 million per pair of lifts, we must be prudent and have to prioritise our efforts. LTA will focus on locations which most benefit seniors and commuters with mobility challenges, such as public transport nodes and healthcare institutions.                                          "
measures to protect privacy of drivers with new satellite erp system,"Mr Kwek Hian Chuan Henry asked the Minister for Transport (a) what will be the measures to protect privacy of drivers when the new satellite ERP system is implemented; and (b) how will the Government store, process and analyse the data collected.",Mr Khaw Boon Wan: The design of the next-generation ERP system will incorporate appropriate security technologies and necessary controls to safeguard the privacy of drivers. This was a key requisite in the tender. The system anonymises and aggregates ERP data for traffic management and analysis. Collected data will not include driver identity. There will also be strict access controls to ensure that only authorised personnel are allowed to access the data.
objectives and significance of framework for co-operation across indo-pacific region endorsed at asean summit,Ms Sylvia Lim asked the Minister for Foreign Affairs whether he can explain the objectives and significance of the framework for co-operation across the Indo-Pacific region that was endorsed on 23 June 2019 at the ASEAN Summit in Bangkok.,"Dr Vivian Balakrishnan: Southeast Asia is no stranger to big power dynamics and proxy wars. We experienced them during the Cold War. However, today the strategic environment is more complex. The international system is much more interdependent. ASEAN Member States have deep connections to all the major powers. We will need clear-eyed realism and acute situational awareness to navigate in the rapidly changing geopolitical landscape. As a group, ASEAN must maintain its strategic autonomy, and not allow Southeast Asia again to become an arena of great power rivalry. If ASEAN takes sides, or is forced to take sides, we will lose our independence of action, and end up making invidious choices which will be inimical to our interests in the long-run. It is thus important for ASEAN to maintain our relevance and to uphold ASEAN Centrality in the regional architecture. Not just geographically, but also effectively in the role that ASEAN plays maintaining a stable region and engaging the major powers, so that they can participate in and contribute to the region’s security and prosperity. The current inclusive regional architecture seeks to achieve this. We have continuously refreshed and enhanced the alphabet soup of overlapping ASEAN-centric forums, such as the ASEAN Plus Three, East Asia Summit, ASEAN Defence Ministers’ Meeting-Plus, and ASEAN Regional Forum. We should continue to look for ways to strengthen the current ASEAN-led regional architecture. ASEAN’s external partners have put forth various formulations to articulate their respective visions of what they now call the Indo-Pacific region. ASEAN should not merely adopt one or other of these proposals in order to win favour with its author. The ASEAN Outlook on the Indo-Pacific was born out of the desire to formulate a coherent and cohesive response to these formulations. The ASEAN Foreign Ministers had a candid discussion on the draft of the Outlook at our Working Dinner on 21 June 2019 in the lead up to the ASEAN Summit. The Outlook was adopted by the Leaders at the recent Summit. It will be a ""living document"", continually refined and updated to advance the existing, inclusive ASEAN-centric regional architecture as the strategic context evolves. It is underpinned by three principles: ASEAN Centrality and unity, economic development in the region, including through increasing connectivity, and upholding a rules-based order anchored on international law. All three principles are vital for Singapore’s own survival and prosperity as a small city-state.The Outlook will not stop strategic forces from pulling individual ASEAN Member States in different directions. ASEAN unity – the pre-requisite for ASEAN Centrality – will be tested. Our inherent diversity will make internal coherence difficult, but ultimately more necessary too. "
